"senator_name","start_date","end_date","description","amount","salary_flag","State","St.Abrv","Party"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1110.83,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",4423.48,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"FIELD ASSISTANT ",13658.26,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1895.81,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1895.81,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1895.81,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1895.81,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1895.81,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1895.81,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"CONSTITUENT SERVICE REPRESENTATIVE ",11916.66,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1506.92,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1895.81,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1895.81,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1895.81,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1895.81,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1895.81,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1895.81,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1895.81,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"STAFF ASSISTANT",8083.33,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1118.04,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1118.04,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",670.51,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",NA,NA,"INTERN",1118.04,0,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-13,2020-03-13,"STAFF TRANSPORTATION",38.92,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-02,2020-03-31,"STAFF TRANSPORTATION",487.2,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-03,2020-03-31,"STAFF TRANSPORTATION",92.4,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-03,2020-03-30,"STAFF TRANSPORTATION",218.4,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-02,2020-03-24,"STAFF TRANSPORTATION",465.36,1,"Kentucky","KY","R"
